"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9"
"100188",2.8792582119697e-05,2.22045033521641e-05,7.2181137019539e-06,1.72240872295078e-05,1.10143729066963e-05,1.72437665270832e-05,1.31080977876996e-05,1.63202982034344e-05,8.49722758268008e-06
"100188",4.62464628978967e-06,1.45307658148045e-06,4.83673251050689e-07,3.63951119359676e-07,1.56506155521425e-07,1.73855439487073e-07,3.00169144575649e-08,1.83891078578464e-07,6.58436147443219e-07
"100188",5.649583391964e-05,1.22971496910113e-05,3.96483176425663e-06,2.25955230776022e-05,8.54499470900914e-06,2.08805239911609e-05,1.4392649914887e-05,1.99689589651819e-05,1.38863642251824e-05
"100192",1.72889619074247e-05,2.01858000645152e-05,0.000226949043164045,7.75582401518789e-05,0.00012153077516725,0.000176793609012599,0.000187566303555671,0.00112427887753972,0.000739623352930742
"100192",2.09733527192769e-05,1.99299129859337e-05,0.000227200825577579,7.96128331268589e-05,0.000122728023644634,0.000176263154986392,0.000187232170397129,0.00112664562813556,0.000741089952244072
"100192",1.77803537044131e-07,8.16124880572812e-10,6.97945689292087e-11,1.34297379366067e-08,2.93420857948633e-09,3.98493473867516e-10,1.48940027214164e-10,1.2442687253618e-09,7.26310105361828e-10
"1002",9.16106049258959e-06,1.05414028492687e-05,3.08736278242226e-07,3.85882605845527e-06,3.16501262089688e-06,2.0587752028158e-06,1.05823785029874e-08,2.32504470576975e-06,2.38015981555793e-06
"1002",9.16106049258961e-06,1.05414028492687e-05,3.08736278242225e-07,3.85882605845527e-06,3.16501262089687e-06,2.05877520281581e-06,1.0582378502988e-08,2.32504470576975e-06,2.38015981555794e-06
"100207",1.04238709243338e-06,3.73690635787499e-07,3.24560313056032e-08,3.55704666180965e-08,1.70582157093017e-09,1.38870479393048e-07,6.40193436670973e-07,4.71141537940541e-09,8.86983747663485e-08
"100207",1.04238709243338e-06,3.736906357875e-07,3.24560313056034e-08,3.55704666180966e-08,1.70582157093018e-09,1.38870479393049e-07,6.40193436670975e-07,4.71141537940548e-09,8.86983747663488e-08
"100226",2.77576780819489e-05,7.16228703079237e-11,1.00857732714179e-05,1.93971996685123e-06,6.56949839549405e-05,0.000444696377254114,0.000144562525392218,5.02758124010323e-05,0.000218183262328322
"100226",2.7757678081949e-05,7.16228703079125e-11,1.00857732714179e-05,1.93971996685122e-06,6.56949839549404e-05,0.000444696377254114,0.000144562525392218,5.02758124010323e-05,0.000218183262328322
"100235",2.7530052200994e-05,3.44055871593024e-05,2.70144242814196e-05,2.28348512444753e-06,3.10744072958858e-05,1.36682300313698e-05,5.38122388395564e-06,1.79343404668234e-05,1.29790699498399e-06
"100235",2.7530052200994e-05,3.44055871593023e-05,2.70144242814196e-05,2.28348512444753e-06,3.10744072958859e-05,1.36682300313698e-05,5.38122388395564e-06,1.79343404668234e-05,1.297906994984e-06
"10026",9.42013012897685e-06,1.07069685630676e-05,3.50559879887101e-05,4.82715225993666e-05,8.01838062593569e-06,7.21219418661332e-06,9.06952179981668e-07,3.12684818080648e-06,2.98950777693012e-05
"10026",9.42013012897685e-06,1.07069685630675e-05,3.505598798871e-05,4.82715225993666e-05,8.01838062593568e-06,7.21219418661332e-06,9.06952179981663e-07,3.12684818080648e-06,2.98950777693013e-05
"100263",2.1242473687366e-06,9.7117771297332e-07,7.72102025353801e-08,4.68144067838748e-07,6.30308391514105e-10,8.2900340806859e-07,1.32309608183701e-06,2.03582958518851e-06,3.09123226323278e-09
"100263",2.1242473687366e-06,9.71177712973318e-07,7.72102025353792e-08,4.68144067838748e-07,6.30308391514117e-10,8.29003408068588e-07,1.323096081837e-06,2.0358295851885e-06,3.09123226323277e-09
"10028",7.43776791740665e-05,5.08657121463201e-07,3.41482184761132e-06,6.56590184710422e-07,1.79016382771662e-06,2.64512860207325e-06,5.4712614015161e-07,1.11933815318008e-09,4.19526915098628e-06
"10028",7.43776791740665e-05,5.08657121463202e-07,3.41482184761132e-06,6.56590184710422e-07,1.79016382771663e-06,2.64512860207325e-06,5.4712614015161e-07,1.11933815318005e-09,4.19526915098628e-06
"10029",9.02874673107941e-06,4.54655164941907e-05,0.000120934831392768,0.000210860275457512,6.81336404017151e-07,6.73743981492023e-05,2.61239191902224e-05,0.000190030465486451,0.000169857878627275
"10029",9.02874673107942e-06,4.54655164941906e-05,0.000120934831392768,0.000210860275457512,6.81336404017159e-07,6.73743981492023e-05,2.61239191902223e-05,0.000190030465486451,0.000169857878627275
"100290",8.08311155254146e-05,5.87253131006507e-06,2.72155740796413e-07,4.12322211462799e-09,5.53027834024657e-06,2.26835366750502e-07,2.64800409259976e-06,2.02570297115873e-05,6.53351654473197e-08
"100290",8.08311155254146e-05,5.87253131006507e-06,2.72155740796412e-07,4.12322211462801e-09,5.53027834024656e-06,2.26835366750502e-07,2.64800409259975e-06,2.02570297115873e-05,6.53351654473195e-08
"100296",6.87994640333496e-07,1.1331154499338e-07,7.64381886017923e-07,2.26427081122616e-07,6.51446111285336e-10,1.80625881411804e-06,7.56151816208289e-07,6.66865919773115e-08,1.04946509502872e-07
"100296",6.87994640333495e-07,1.13311544993381e-07,7.64381886017922e-07,2.26427081122616e-07,6.51446111285335e-10,1.80625881411804e-06,7.56151816208288e-07,6.66865919773113e-08,1.04946509502872e-07
"10030",6.82050975833618e-06,3.17735520196765e-05,3.19915652218227e-07,4.00005557306314e-06,0.000112915203849743,1.20024811011361e-06,5.83220529254997e-05,7.10525392415826e-05,1.12827250178015e-07
"10030",6.82050975833616e-06,3.17735520196766e-05,3.1991565221823e-07,4.00005557306313e-06,0.000112915203849743,1.20024811011362e-06,5.83220529254996e-05,7.10525392415826e-05,1.12827250178015e-07
"100338",1.11379671138035e-06,6.64627610164438e-07,5.96544535207233e-07,2.34693377993731e-07,2.17530591113451e-08,8.36309821747877e-07,4.32426355983264e-09,4.91400283482714e-09,1.83287426092257e-07
"100338",1.11379671138035e-06,6.64627610164441e-07,5.96544535207235e-07,2.34693377993732e-07,2.17530591113448e-08,8.36309821747878e-07,4.32426355983249e-09,4.91400283482711e-09,1.83287426092257e-07
"100340",2.646398021989e-09,5.98484163977328e-09,2.25333311458979e-08,1.32145418501407e-07,1.04846925096265e-08,1.67254476074363e-07,4.84943691476381e-09,3.51075360192843e-08,1.63872993885696e-07
"100340",2.64639802198905e-09,5.98484163977341e-09,2.25333311458982e-08,1.32145418501409e-07,1.04846925096267e-08,1.67254476074366e-07,4.84943691476388e-09,3.51075360192847e-08,1.63872993885698e-07
"10038",1.04220508342794e-06,1.56563058301513e-07,9.83314331026957e-09,2.71938499922274e-07,5.83019220264927e-08,3.38299034041876e-07,2.22760344739621e-10,1.02633238090103e-06,1.20789719767139e-07
"10038",1.04220508342794e-06,1.56563058301513e-07,9.8331433102695e-09,2.71938499922275e-07,5.8301922026493e-08,3.38299034041877e-07,2.22760344739623e-10,1.02633238090103e-06,1.2078971976714e-07
"100385",6.20690010448091e-06,3.38073722949728e-07,5.88985778167071e-08,7.09069756513413e-07,3.21806139283558e-07,1.18774999357995e-06,1.66710466621389e-05,1.43079637603084e-05,2.39785509515369e-06
"100385",6.2069001044809e-06,3.38073722949729e-07,5.88985778167066e-08,7.09069756513417e-07,3.21806139283557e-07,1.18774999357994e-06,1.66710466621389e-05,1.43079637603084e-05,2.39785509515369e-06
"10039",2.87324870878078e-05,5.46795287104353e-05,2.71568401066924e-05,0.000249650598635584,0.000286686918831343,4.39472071626567e-05,0.000192551660860651,0.000134496806123578,5.29508744914918e-05
"10039",2.87324870878077e-05,5.46795287104354e-05,2.71568401066925e-05,0.000249650598635584,0.000286686918831343,4.39472071626567e-05,0.000192551660860651,0.000134496806123578,5.29508744914919e-05
"10040",1.3497184629379e-06,2.6236256107331e-06,1.11718951815465e-08,1.70211880020593e-08,6.86655874159139e-09,2.21648319245475e-07,3.66586184955538e-08,3.36602154143399e-10,5.63147722817951e-08
"10040",1.34971846293789e-06,2.62362561073307e-06,1.11718951815464e-08,1.70211880020593e-08,6.86655874159132e-09,2.21648319245473e-07,3.66586184955535e-08,3.36602154143396e-10,5.63147722817946e-08
"100403",8.51815933198004e-06,3.59399109901071e-07,5.5416605604137e-07,6.55914891376905e-07,2.03822079555228e-06,6.54009504911646e-07,2.93124805641851e-06,3.54971588628079e-07,1.08743805870777e-06
"100403",8.51815933198006e-06,3.59399109901071e-07,5.54166056041373e-07,6.55914891376907e-07,2.03822079555228e-06,6.54009504911647e-07,2.93124805641852e-06,3.54971588628079e-07,1.08743805870777e-06
"100418",0.000165257994316669,0.000624811196574071,0.001551571533727,9.65135947698945e-05,0.000426998755972655,0.000126110659723243,0.00160260772063995,0.000578119594941005,0.0031224364608722
"100418",0.000165257994316668,0.000624811196574071,0.001551571533727,9.65135947698951e-05,0.000426998755972655,0.000126110659723243,0.00160260772063995,0.000578119594941006,0.0031224364608722
"100424",2.61888875966427e-09,2.44407430322574e-06,1.89734974663476e-07,9.91794554222437e-08,6.90021228975925e-06,1.78463190641927e-06,2.36427148176194e-06,3.41127528428013e-06,4.92424940129857e-07
"100424",2.61888875966426e-09,2.44407430322575e-06,1.89734974663474e-07,9.91794554222435e-08,6.90021228975925e-06,1.78463190641927e-06,2.36427148176195e-06,3.41127528428013e-06,4.92424940129858e-07
"100439",1.14081251949166e-06,1.13833233111335e-07,2.08949615000149e-07,3.26876000724073e-08,1.00369699780001e-06,4.50141005829789e-08,2.15292740209156e-08,4.38319606964986e-07,2.03726665956764e-07
"100439",1.14081251949165e-06,1.13833233111335e-07,2.08949615000147e-07,3.26876000724071e-08,1.00369699780001e-06,4.50141005829786e-08,2.15292740209155e-08,4.38319606964984e-07,2.03726665956764e-07
"10047",2.74920065023285e-07,1.67029805731277e-11,4.03544436847849e-10,3.01523423274122e-10,1.04488024066642e-09,9.43156848010912e-09,9.38940415131268e-10,2.06130539830755e-08,1.14469113426605e-08
"10047",2.74920065023275e-07,1.6702980573127e-11,4.03544436847836e-10,3.01523423274109e-10,1.04488024066637e-09,9.43156848010876e-09,9.38940415131236e-10,2.06130539830747e-08,1.14469113426601e-08
"100518",0.000186776116186529,2.25877890511173e-06,1.30761196556493e-06,1.10665660908282e-05,7.38493416702891e-06,8.24431922001897e-06,2.75913150958704e-07,8.81663259118508e-06,1.61683698067834e-06
"100518",0.000186776116186529,2.25877890511173e-06,1.30761196556494e-06,1.10665660908282e-05,7.38493416702889e-06,8.244319220019e-06,2.75913150958704e-07,8.81663259118507e-06,1.61683698067834e-06
"100524",2.15123864323728e-06,5.05084207130568e-06,3.61338374973407e-09,3.19635729056446e-09,1.03117392651313e-06,3.93125284418346e-08,1.61577376800817e-07,6.58818251918374e-06,3.53795131298085e-09
"100524",2.15123864323728e-06,5.05084207130568e-06,3.61338374973397e-09,3.19635729056458e-09,1.03117392651313e-06,3.93125284418353e-08,1.61577376800817e-07,6.58818251918375e-06,3.53795131298094e-09
"100534",0,0,0,0,0,0,0,0,0
"100534",0,0,0,0,0,0,0,0,0
"100546",1.50240857602027e-05,7.88632668862941e-05,0.000181918282464067,3.750527858712e-05,7.87966972657832e-07,3.30792248035052e-05,1.12534035619609e-06,7.61396831846808e-05,7.23956384655022e-05
"100546",1.50240857602028e-05,7.8863266886294e-05,0.000181918282464067,3.750527858712e-05,7.87966972657828e-07,3.30792248035052e-05,1.12534035619611e-06,7.61396831846808e-05,7.23956384655022e-05
"10068",1.35490598262646e-06,2.84129708486463e-07,6.76589050954383e-08,7.89139028213036e-08,4.14271642454031e-07,2.76953564229055e-08,4.61926898800865e-07,2.79556866387084e-07,2.19104534872916e-08
"10068",1.35490598262647e-06,2.84129708486465e-07,6.76589050954386e-08,7.89139028213038e-08,4.14271642454034e-07,2.76953564229057e-08,4.61926898800868e-07,2.79556866387086e-07,2.19104534872918e-08
"100685",6.85470937850032e-08,2.25846048580547e-07,1.08872342771851e-07,1.69190067013863e-08,3.69183303577074e-08,8.92913500087387e-08,1.1424131039852e-08,5.80371573470547e-07,1.7495559068548e-06
"100685",6.85470937850027e-08,2.25846048580545e-07,1.0887234277185e-07,1.69190067013863e-08,3.69183303577069e-08,8.92913500087383e-08,1.14241310398519e-08,5.80371573470544e-07,1.74955590685479e-06
"100703",1.31074374058964e-06,8.76180579033546e-07,1.36252644387973e-06,7.42360184589117e-06,1.67868041105065e-06,9.96914463185513e-07,3.4931218147156e-07,1.77835494706716e-06,3.17439742782921e-06
"100703",1.31074374058965e-06,8.76180579033548e-07,1.36252644387973e-06,7.42360184589118e-06,1.67868041105065e-06,9.96914463185516e-07,3.4931218147156e-07,1.77835494706716e-06,3.17439742782921e-06
"100718",1.16228309265008e-07,7.85701768300752e-07,5.54569032036726e-07,3.64541405302579e-06,8.65260363755913e-05,1.74236870830726e-06,1.10293761821348e-05,4.18774177511935e-05,1.2103945175501e-06
"100718",1.16228309265009e-07,7.85701768300761e-07,5.54569032036724e-07,3.64541405302579e-06,8.65260363755912e-05,1.74236870830727e-06,1.10293761821348e-05,4.18774177511936e-05,1.2103945175501e-06
"10073",0,0,0,0,0,0,0,0,0
"100751",1.45712383868159e-06,1.66432557536503e-06,2.47517900031992e-07,2.57038775908422e-06,6.19166111036967e-07,1.32866105977379e-07,2.70478405007002e-07,5.95327718176526e-07,3.8058634220817e-07
"100751",1.4571238386816e-06,1.66432557536504e-06,2.47517900031994e-07,2.57038775908421e-06,6.19166111036962e-07,1.3286610597738e-07,2.70478405007007e-07,5.95327718176532e-07,3.80586342208175e-07
"100754",0,0,0,0,0,0,0,0,0
"100754",0,0,0,0,0,0,0,0,0
"100762",3.01346413678118e-06,3.11397266676222e-07,1.35363772566976e-07,1.93129373622704e-06,4.06690776001671e-05,3.05889205734041e-07,1.95856698589843e-06,3.9018296602462e-05,1.22937972870458e-05
"100762",3.01346413678117e-06,3.11397266676223e-07,1.35363772566977e-07,1.93129373622704e-06,4.0669077600167e-05,3.0588920573404e-07,1.95856698589841e-06,3.9018296602462e-05,1.22937972870458e-05
"100769",0.000330618607903178,0.000268450985053077,6.77316754477805e-05,0.000136542531094393,0.000167755427524705,0.000553838065405116,0.000391067014435102,0.000553365358845544,0.00144706869954727
"100769",0.000330618607903178,0.000268450985053077,6.77316754477805e-05,0.000136542531094393,0.000167755427524705,0.000553838065405116,0.000391067014435102,0.000553365358845544,0.00144706869954727
"100788",1.55850259337442e-07,5.86575353190744e-09,1.89246534260086e-08,2.09508844624415e-09,2.61385805641185e-11,2.45943832267978e-09,1.3315108337645e-08,1.07388887518016e-09,1.38350537308385e-09
"100788",1.55850259337447e-07,5.86575353190763e-09,1.89246534260092e-08,2.09508844624421e-09,2.61385805641189e-11,2.45943832267986e-09,1.33151083376454e-08,1.07388887518018e-09,1.38350537308389e-09
"100813",2.62156222870235e-10,6.43961334513619e-09,4.00349269930324e-10,2.47084250284029e-09,2.24249246243211e-10,4.90548510902466e-09,1.04697638035962e-09,5.11223410820615e-10,4.14125667351242e-09
"100813",2.6215622287022e-10,6.43961334513581e-09,4.00349269930301e-10,2.47084250284015e-09,2.24249246243198e-10,4.90548510902439e-09,1.04697638035956e-09,5.11223410820586e-10,4.14125667351218e-09
"10083",1.18180623888418e-06,3.99443966372496e-05,1.91336101134961e-05,7.27954645753496e-06,7.84590627975985e-09,7.39170531189074e-06,1.83003251703421e-05,3.26798361520681e-06,8.74065676327208e-10
"10083",1.18180623888418e-06,3.99443966372496e-05,1.91336101134961e-05,7.27954645753497e-06,7.8459062797595e-09,7.39170531189076e-06,1.83003251703422e-05,3.2679836152068e-06,8.7406567632712e-10
"100835",1.18207681941611e-08,2.73070733695453e-08,6.35481590519095e-09,1.61107770642372e-07,9.54357079890735e-09,1.41620871745238e-09,2.27223339964529e-08,2.95405865736433e-09,1.35886717499193e-07
"100835",1.1820768194161e-08,2.7307073369545e-08,6.35481590519087e-09,1.6110777064237e-07,9.54357079890726e-09,1.41620871745241e-09,2.27223339964525e-08,2.95405865736424e-09,1.35886717499191e-07
"100848",0,0,0,0,0,0,0,0,0
"100848",0,0,0,0,0,0,0,0,0
"100868",2.16284844298285e-07,8.62616874662968e-09,3.79831205456926e-08,2.03596182769358e-10,8.412443704296e-09,2.00689059490391e-08,1.35256940352869e-08,4.37738659442617e-08,9.76526204303571e-09
"100868",2.1628484429829e-07,8.62616874662986e-09,3.79831205456933e-08,2.03596182769363e-10,8.4124437042962e-09,2.00689059490396e-08,1.35256940352871e-08,4.37738659442626e-08,9.7652620430359e-09
"10087",1.19688660346785e-08,1.68134230335855e-08,1.57835536546434e-06,3.95863203392159e-07,4.93721508445594e-07,5.33618966101544e-07,2.90500630447652e-07,1.67192603062822e-08,2.03326727518926e-06
"10087",1.19688660346784e-08,1.68134230335856e-08,1.57835536546434e-06,3.95863203392159e-07,4.93721508445595e-07,5.33618966101543e-07,2.90500630447652e-07,1.67192603062824e-08,2.03326727518926e-06
"100878",0,0,0,0,0,0,0,0,0
"100890",4.22670409655294e-07,0.000100661620283587,1.22430779133762e-05,0.000244393235308364,1.33212492592099e-05,0.000337784570733186,2.11882883387277e-06,3.32414451072774e-06,5.73658694214098e-07
"100890",4.22670409655305e-07,0.000100661620283587,1.22430779133762e-05,0.000244393235308365,1.33212492592099e-05,0.000337784570733186,2.11882883387275e-06,3.32414451072777e-06,5.73658694214109e-07
"100892",1.71746315826202e-06,1.88913099530807e-05,1.8919231922506e-07,5.95024000679835e-06,1.58998552921942e-05,0.000100538129565129,4.72543032039126e-05,3.19287057272077e-06,7.69238272917572e-07
"100892",1.71746315826202e-06,1.88913099530807e-05,1.8919231922506e-07,5.95024000679834e-06,1.58998552921942e-05,0.000100538129565129,4.72543032039126e-05,3.19287057272075e-06,7.69238272917579e-07
"10096",4.51704535353539e-07,2.45246038227319e-07,1.77116987124405e-08,3.0365269971968e-07,1.56522063935592e-06,3.67231186380455e-10,1.03067103639845e-07,1.54714263936656e-08,1.20554921846759e-07
"10096",4.51704535353542e-07,2.45246038227321e-07,1.77116987124406e-08,3.03652699719682e-07,1.56522063935593e-06,3.67231186380448e-10,1.03067103639845e-07,1.54714263936658e-08,1.2055492184676e-07
"100962",0,0,0,0,0,0,0,0,0
"100962",0,0,0,0,0,0,0,0,0
"100964",1.55032261717265e-05,1.01575339453533e-06,6.65767880863525e-07,5.820561274481e-07,4.34595366781638e-06,1.18319213312489e-06,1.36815200698786e-05,1.21698458318302e-06,6.22265769209748e-06
"100964",1.55032261717265e-05,1.01575339453534e-06,6.65767880863528e-07,5.820561274481e-07,4.3459536678164e-06,1.18319213312489e-06,1.36815200698786e-05,1.21698458318302e-06,6.2226576920975e-06
"100968",3.6609238849449e-06,2.8883897796133e-06,1.06794801101833e-05,1.92842281684907e-05,9.03224710454225e-06,2.33023165380593e-05,4.75643823543718e-06,1.16438772861811e-08,1.23432299795212e-06
"100968",3.6609238849449e-06,2.88838977961332e-06,1.06794801101833e-05,1.92842281684907e-05,9.03224710454225e-06,2.33023165380594e-05,4.75643823543718e-06,1.1643877286181e-08,1.23432299795211e-06
"100971",6.45656838195461e-06,3.00197612125311e-05,7.10628427139509e-05,4.89964098068092e-05,2.5732626240152e-06,3.69681629746094e-07,9.80184174066623e-06,1.37098574999941e-10,3.62254259723842e-05
"100971",6.45656838195459e-06,3.00197612125311e-05,7.10628427139509e-05,4.89964098068092e-05,2.57326262401518e-06,3.69681629746095e-07,9.80184174066622e-06,1.3709857499989e-10,3.62254259723843e-05
"101007",2.765174478574e-07,2.83109862933363e-07,3.215651564395e-06,1.69311575542595e-06,1.46109961248279e-06,1.88717642150603e-06,4.95350245484349e-06,2.84293174966382e-06,1.75005071266141e-06
"101007",2.76517447857401e-07,2.83109862933363e-07,3.21565156439499e-06,1.69311575542595e-06,1.46109961248279e-06,1.88717642150603e-06,4.9535024548435e-06,2.84293174966382e-06,1.75005071266141e-06
"101018",5.67945624093159e-06,0.000192285308160201,6.74949976250961e-05,3.42206628933082e-05,3.6906303127332e-05,0.000377947854131756,0.000122513286535138,8.55666461903673e-06,0.000261543085952205
"101018",5.67945624093162e-06,0.000192285308160201,6.7494997625096e-05,3.42206628933083e-05,3.69063031273319e-05,0.000377947854131756,0.000122513286535138,8.55666461903681e-06,0.000261543085952205
"10102",1.32394856587278e-07,1.25651895612685e-07,1.90285756280972e-05,2.07261230846338e-05,1.75172214892658e-07,2.06857515978472e-05,7.45661884798866e-05,0.000282770006392112,0.000183107633829734
"10102",1.32394856587279e-07,1.25651895612684e-07,1.90285756280972e-05,2.07261230846338e-05,1.75172214892658e-07,2.06857515978472e-05,7.45661884798866e-05,0.000282770006392112,0.000183107633829734
"10103",6.28295535172267e-07,9.01999000732423e-07,3.07348835908794e-07,8.11547714734915e-07,4.67300419127461e-08,4.55100996328637e-07,2.50884439606169e-06,5.81243085894065e-07,3.438610727098e-09
"10103",6.28295535172268e-07,9.01999000732426e-07,3.07348835908795e-07,8.11547714734917e-07,4.67300419127468e-08,4.55100996328636e-07,2.5088443960617e-06,5.81243085894066e-07,3.43861072709789e-09
"10104",3.5689589107833e-07,4.62030880328072e-08,2.06306959319003e-07,1.07210182680677e-08,1.58375334941183e-09,1.82954052884086e-08,2.72117595968657e-08,3.79363140865988e-08,1.85297256583478e-08
"10104",3.56895891078326e-07,4.62030880328066e-08,2.06306959319001e-07,1.07210182680675e-08,1.58375334941183e-09,1.82954052884084e-08,2.72117595968654e-08,3.79363140865984e-08,1.85297256583476e-08
"101041",1.56959780476461e-05,0.000149553180845548,3.33487877565532e-05,3.18048411419249e-05,4.43722380439322e-06,1.47669474482435e-06,2.07534679712368e-06,2.43746974359138e-07,1.67678158890454e-05
"101041",1.56959780476461e-05,0.000149553180845548,3.33487877565532e-05,3.18048411419248e-05,4.43722380439321e-06,1.47669474482436e-06,2.0753467971237e-06,2.43746974359138e-07,1.67678158890454e-05
"101046",1.25622907917251e-08,1.33351829794462e-09,2.67367520053522e-09,6.65090559218374e-09,7.25336373981503e-09,2.38563043487481e-08,1.86428252725969e-08,1.95631130897606e-08,2.45756860313016e-09
"101046",1.25622907917256e-08,1.33351829794467e-09,2.67367520053531e-09,6.65090559218398e-09,7.2533637398153e-09,2.3856304348749e-08,1.86428252725976e-08,1.95631130897613e-08,2.45756860313025e-09
"101055",3.24717734611813e-08,6.07487990415252e-09,1.83559449362635e-08,1.42448762207542e-09,2.1292859145918e-09,2.18222260184198e-09,1.1621480623615e-07,2.4444848732992e-08,1.67822447067189e-07
"101055",3.24717734611803e-08,6.07487990415234e-09,1.83559449362629e-08,1.4244876220754e-09,2.12928591459171e-09,2.18222260184193e-09,1.16214806236147e-07,2.44448487329914e-08,1.67822447067184e-07
"101078",2.05441101865602e-07,1.14257565002509e-07,2.13488159431231e-07,6.1492284708294e-08,9.27799558474002e-08,2.7860032540607e-08,4.25758201522286e-07,3.84184933572739e-08,9.19859603210216e-08
"101078",2.05441101865604e-07,1.1425756500251e-07,2.13488159431233e-07,6.14922847082944e-08,9.27799558474008e-08,2.78600325406072e-08,4.25758201522289e-07,3.84184933572743e-08,9.19859603210221e-08
"101093",3.16256151519457e-07,4.34025660680798e-07,4.6347523605388e-07,1.51910361595877e-07,7.65595548317467e-08,1.03509797234934e-07,2.16763653349381e-07,1.44406870171337e-06,8.06999716281223e-08
"101093",3.16256151519455e-07,4.34025660680795e-07,4.63475236053877e-07,1.51910361595876e-07,7.65595548317463e-08,1.03509797234933e-07,2.1676365334938e-07,1.44406870171337e-06,8.06999716281219e-08
"101104",1.3092022759364e-07,2.14408051705704e-06,0.000142125881080261,3.36616136490838e-05,8.04754479595198e-05,4.80472232174187e-05,1.84043790116244e-05,1.86138902841627e-05,2.74290715395458e-06
"101104",1.30920227593642e-07,2.14408051705704e-06,0.000142125881080261,3.36616136490839e-05,8.04754479595198e-05,4.80472232174187e-05,1.84043790116243e-05,1.86138902841627e-05,2.74290715395459e-06
"101117",6.29001302897727e-07,3.56092361160163e-07,5.07841226489022e-09,4.1635939142031e-10,6.91848553942414e-08,4.06547117706042e-09,1.56414317253551e-07,9.84060591718433e-08,3.72631701495114e-07
"101117",6.29001302897733e-07,3.56092361160166e-07,5.07841226489026e-09,4.1635939142032e-10,6.91848553942413e-08,4.06547117706047e-09,1.56414317253552e-07,9.84060591718444e-08,3.72631701495116e-07
"101135",3.06224513718427e-05,5.44000513718751e-06,4.97471896825576e-05,1.36339112620744e-05,0.000115967659141266,5.41226450052055e-05,0.00012009227162599,2.68447643975296e-07,4.89785029106358e-05
"101135",3.06224513718428e-05,5.44000513718751e-06,4.97471896825577e-05,1.36339112620744e-05,0.000115967659141266,5.41226450052054e-05,0.00012009227162599,2.684476439753e-07,4.89785029106358e-05
"101146",8.65545454449694e-08,1.73501016443222e-07,3.22690833593333e-07,1.34364052069078e-08,2.95665782067162e-07,5.69429453783439e-08,7.020289251081e-08,8.56365809820973e-09,1.35843647634849e-07
"101146",8.65545454449698e-08,1.73501016443223e-07,3.22690833593335e-07,1.34364052069079e-08,2.95665782067164e-07,5.69429453783443e-08,7.02028925108105e-08,8.56365809820973e-09,1.3584364763485e-07
"10115",8.53912364129887e-06,1.44586311273619e-06,0.000184399697578125,9.63054797053497e-05,3.00732965606405e-07,0.000425276889262862,0.000476001936109333,4.83247772618022e-07,4.8924134642857e-05
