"","LD1","LD2","LD3","LD4","LD5","LD6"
"100424",2.42299880377765e-06,0.000227364384042907,6.48838130958331e-06,2.84747690091138e-06,6.99586402735489e-07,1.52798300884433e-06
"100424",2.42299880377762e-06,0.000227364384042907,6.48838130958332e-06,2.84747690091137e-06,6.99586402735489e-07,1.52798300884431e-06
"100439",1.26794827703542e-08,3.55979830465349e-06,4.51669489327158e-05,3.58357169871322e-07,7.30139347061412e-05,1.34416493777972e-05
"100439",1.2679482770354e-08,3.55979830465349e-06,4.51669489327159e-05,3.58357169871327e-07,7.30139347061411e-05,1.34416493777972e-05
"10047",4.23558429544147e-06,2.0926803625927e-06,5.20170470599562e-06,7.43849734493589e-07,5.19340089004385e-07,6.54906973249531e-07
"10047",4.23558429544146e-06,2.09268036259269e-06,5.20170470599563e-06,7.43849734493588e-07,5.19340089004387e-07,6.5490697324953e-07
"100518",2.19098731386012e-07,1.49302232106852e-08,1.97536784819988e-07,9.61633683488135e-07,4.94919449907553e-08,4.23464865868566e-07
"100518",2.19098731386014e-07,1.49302232106853e-08,1.97536784819989e-07,9.61633683488142e-07,4.94919449907555e-08,4.23464865868569e-07
"100524",4.28697135948565e-06,7.4326649236591e-05,4.69837788461603e-06,1.90282328305556e-08,2.82977840078872e-06,2.74826177563968e-06
"100524",4.28697135948569e-06,7.43266492365909e-05,4.69837788461604e-06,1.9028232830555e-08,2.82977840078872e-06,2.74826177563967e-06
"100534",0,0,0,0,0,0
"100534",0,0,0,0,0,0
"100546",5.72042343927722e-06,2.02391111636389e-06,8.12711449752106e-06,1.47864146377157e-07,1.68601473267266e-05,5.79256677363371e-06
"100546",5.72042343927721e-06,2.02391111636389e-06,8.12711449752107e-06,1.47864146377156e-07,1.68601473267266e-05,5.79256677363372e-06
"10068",1.56771600572684e-05,1.05970569066509e-05,6.06552689349955e-05,1.20904321634019e-06,3.3694225646817e-05,0.000101994216168115
"10068",1.56771600572684e-05,1.05970569066508e-05,6.06552689349954e-05,1.20904321634019e-06,3.3694225646817e-05,0.000101994216168115
"100685",4.53401319371151e-07,4.15132695098308e-07,5.57592161911615e-07,4.633452441571e-05,1.40183510043928e-05,3.77450280226322e-06
"100685",4.53401319371152e-07,4.15132695098308e-07,5.57592161911613e-07,4.633452441571e-05,1.40183510043927e-05,3.77450280226321e-06
"100703",1.47657807246964e-06,0.000484927065525878,2.61550187681068e-05,3.46829300001818e-06,2.36860757870703e-07,8.04558375505272e-07
"100703",1.47657807246963e-06,0.000484927065525878,2.61550187681069e-05,3.46829300001815e-06,2.36860757870703e-07,8.04558375505274e-07
"100718",1.08335478277253e-07,6.51733767414519e-08,5.43062880141095e-07,2.31294292543537e-08,7.08394007970847e-07,6.64644938614643e-07
"100718",1.08335478277252e-07,6.51733767414515e-08,5.43062880141093e-07,2.31294292543536e-08,7.08394007970843e-07,6.64644938614638e-07
"10073",0,0,0,0,0,0
"100751",3.38926220362559e-07,6.3370825793558e-08,3.07546671626248e-07,2.40207167513601e-07,3.66608885014478e-07,6.37794650689665e-07
"100751",3.38926220362563e-07,6.33708257935589e-08,3.07546671626251e-07,2.40207167513604e-07,3.66608885014483e-07,6.37794650689672e-07
"100754",0,0,0,0,0,0
"100754",0,0,0,0,0,0
"100762",0.00212121836412735,0.000334188574463176,5.33724476951484e-07,1.10430856572221e-05,1.12213918696094e-05,1.23612060847899e-06
"100762",0.00212121836412735,0.000334188574463176,5.33724476951492e-07,1.10430856572221e-05,1.12213918696094e-05,1.23612060847899e-06
"100769",3.33876764952647e-05,0.000139188879993821,0.000805879132380026,0.000147549291059001,3.59193452464128e-05,3.92439130652216e-07
"100769",3.33876764952647e-05,0.000139188879993821,0.000805879132380026,0.000147549291059001,3.59193452464128e-05,3.92439130652216e-07
"100788",0.000110582733949483,6.56211450898957e-05,2.67471254547369e-07,3.35199044077985e-07,1.15798006828733e-06,4.1981091482717e-06
"100788",0.000110582733949483,6.56211450898957e-05,2.67471254547366e-07,3.35199044077985e-07,1.15798006828732e-06,4.19810914827171e-06
"100813",3.9858169565137e-06,2.51406587454515e-06,6.41838389224582e-06,2.35302182394604e-07,3.39441973046191e-06,5.24555375261347e-06
"100813",3.9858169565137e-06,2.51406587454515e-06,6.41838389224583e-06,2.35302182394605e-07,3.39441973046191e-06,5.24555375261347e-06
"10083",2.97215865834169e-06,3.4214219097659e-06,1.86661230165406e-06,7.06694965898363e-07,5.13509510226027e-06,2.15460405302334e-05
"10083",2.97215865834169e-06,3.4214219097659e-06,1.86661230165406e-06,7.06694965898364e-07,5.13509510226026e-06,2.15460405302334e-05
"100835",0.000263684576142179,4.45941257100425e-05,2.81345090945915e-05,1.58979702591395e-06,3.0865704455896e-05,1.92169098605289e-08
"100835",0.00026368457614218,4.45941257100425e-05,2.81345090945915e-05,1.58979702591395e-06,3.0865704455896e-05,1.92169098605286e-08
"100848",0,0,0,0,0,0
"100848",0,0,0,0,0,0
"100868",3.18123638317042e-06,8.53125866430698e-08,1.1824488477516e-06,4.43059618704442e-08,1.28330091562671e-05,3.48115506185961e-06
"100868",3.18123638317042e-06,8.53125866430699e-08,1.1824488477516e-06,4.43059618704443e-08,1.28330091562671e-05,3.48115506185961e-06
"10087",0.00163093988414616,0.000251088598681873,5.00360799571889e-06,1.32709868405478e-05,0.000125292021580943,0.000208257430255067
"10087",0.00163093988414616,0.000251088598681873,5.00360799571889e-06,1.32709868405478e-05,0.000125292021580943,0.000208257430255067
"100878",0,0,0,0,0,0
"100890",1.03981490662856e-07,3.46971837027778e-06,3.69433425438099e-08,1.40232100676882e-06,1.41583267058339e-06,1.38865697735614e-06
"100890",1.03981490662856e-07,3.46971837027778e-06,3.69433425438101e-08,1.40232100676881e-06,1.41583267058339e-06,1.38865697735613e-06
"100892",0,0,0,0,0,0
"100892",0,0,0,0,0,0
"10096",8.12376529851163e-07,8.89657389132769e-07,9.61718257942841e-06,1.13632324212765e-05,4.22385932228741e-06,6.99590230207794e-07
"10096",8.12376529851168e-07,8.89657389132764e-07,9.6171825794284e-06,1.13632324212765e-05,4.22385932228741e-06,6.99590230207798e-07
"100962",0,0,0,0,0,0
"100962",0,0,0,0,0,0
"100964",5.67959861984155e-05,1.19201667027676e-05,0.000181952683287294,3.94679366355001e-05,1.3508187432187e-05,2.2508320744462e-05
"100964",5.67959861984154e-05,1.19201667027676e-05,0.000181952683287294,3.94679366355001e-05,1.35081874321869e-05,2.2508320744462e-05
"100968",8.01154945362363e-05,2.31939433455973e-05,0.000931161084526439,4.29383142733416e-05,0.000165264525401266,4.4553055429779e-06
"100968",8.01154945362362e-05,2.31939433455973e-05,0.000931161084526439,4.29383142733416e-05,0.000165264525401266,4.4553055429779e-06
"100971",1.11494876482107e-07,2.99141695530985e-07,3.88883156001838e-06,3.61973446987456e-05,8.65481240051888e-05,6.64207539724469e-05
"100971",1.11494876482107e-07,2.99141695530983e-07,3.88883156001838e-06,3.61973446987456e-05,8.65481240051888e-05,6.64207539724469e-05
"101007",0,0,0,0,0,0
"101007",0,0,0,0,0,0
"101018",2.40401707375913e-06,5.00891472853484e-08,9.44604336300017e-07,4.79836386530707e-06,6.26974458408147e-06,5.57454460373037e-07
"101018",2.40401707375913e-06,5.00891472853484e-08,9.44604336300017e-07,4.79836386530707e-06,6.26974458408147e-06,5.57454460373037e-07
"10102",8.10339326193084e-07,1.9796062899271e-06,8.25204997247299e-05,8.0365112008374e-06,8.78973767438497e-05,3.87110014017464e-06
"10102",8.10339326193076e-07,1.97960628992711e-06,8.25204997247299e-05,8.03651120083739e-06,8.78973767438497e-05,3.87110014017461e-06
"10103",4.32919890378216e-06,4.39130355873503e-06,1.3162025626076e-06,0.000306639817304194,1.78374973867813e-06,0.00011289025733409
"10103",4.32919890378217e-06,4.39130355873503e-06,1.31620256260761e-06,0.000306639817304194,1.78374973867813e-06,0.00011289025733409
"10104",1.9669169267246e-05,1.96212754384812e-07,2.93483736570043e-10,3.74507649255848e-05,9.13458129858287e-05,3.92771644504424e-06
"10104",1.9669169267246e-05,1.96212754384816e-07,2.93483736569995e-10,3.74507649255848e-05,9.13458129858288e-05,3.92771644504424e-06
"101041",9.50416130433804e-08,1.43310790818104e-07,2.48938160569009e-07,3.92293457754374e-07,2.11636259039774e-07,2.64607635035332e-08
"101041",9.50416130433802e-08,1.43310790818104e-07,2.48938160569009e-07,3.92293457754373e-07,2.11636259039773e-07,2.6460763503533e-08
"101046",9.02851828218443e-07,7.06548092231211e-08,7.09391261744264e-06,7.91371494131972e-05,6.48979466502292e-06,1.57055001776282e-05
"101046",9.0285182821844e-07,7.06548092231222e-08,7.09391261744262e-06,7.91371494131972e-05,6.48979466502289e-06,1.57055001776282e-05
"101055",1.26451453755901e-06,9.17972467635312e-07,6.55953169296944e-06,3.11344495220564e-08,4.74820252605034e-07,1.72446652925719e-05
"101055",1.26451453755901e-06,9.17972467635313e-07,6.55953169296942e-06,3.11344495220579e-08,4.74820252605038e-07,1.72446652925718e-05
"101078",5.18508350996441e-07,2.49487370383509e-06,1.37965375738201e-05,2.96573906930587e-06,1.12083192562885e-06,1.57497964353142e-06
"101078",5.18508350996438e-07,2.49487370383509e-06,1.37965375738201e-05,2.96573906930587e-06,1.12083192562885e-06,1.57497964353141e-06
"101093",2.95512485362664e-06,3.84255385447236e-07,9.88554452569283e-08,2.4877023717342e-05,3.97033794348921e-05,8.11654158099763e-05
"101093",2.95512485362664e-06,3.84255385447237e-07,9.88554452569252e-08,2.48770237173421e-05,3.97033794348921e-05,8.11654158099764e-05
"101104",5.7616256139415e-08,1.07059349592467e-06,4.39678529297854e-07,2.53590898958375e-08,1.60155461971535e-07,1.07240366432669e-07
"101104",5.7616256139415e-08,1.07059349592467e-06,4.39678529297854e-07,2.53590898958377e-08,1.60155461971536e-07,1.0724036643267e-07
"101117",1.60315089156301e-07,1.01903907710704e-06,1.88573732664842e-06,8.2142615794523e-07,1.470320895282e-05,2.7635260854687e-05
"101117",1.60315089156301e-07,1.01903907710704e-06,1.88573732664843e-06,8.21426157945228e-07,1.470320895282e-05,2.76352608546869e-05
"101135",2.72741336351071e-05,3.38957309061725e-05,2.71622040991426e-06,4.85523355464348e-06,3.36919428114049e-06,1.403090335864e-07
"101135",2.7274133635107e-05,3.38957309061725e-05,2.71622040991425e-06,4.85523355464348e-06,3.36919428114049e-06,1.403090335864e-07
"101146",1.37702889635417e-06,7.0698322924764e-06,4.20439242021665e-06,0.000250210965810685,2.02178854749565e-07,5.48859964678944e-08
"101146",1.37702889635419e-06,7.06983229247639e-06,4.20439242021665e-06,0.000250210965810685,2.02178854749566e-07,5.48859964678921e-08
"10115",1.31676868610971e-05,1.84557742912224e-07,0.000203067053971227,4.5238073964931e-05,1.37217708077841e-05,0.000100231355385135
"10115",1.31676868610971e-05,1.84557742912226e-07,0.000203067053971227,4.52380739649309e-05,1.37217708077841e-05,0.000100231355385135
"10117",1.47793637356638e-07,4.37411228111011e-09,5.74834541641106e-07,4.16749225479171e-09,9.60784243534082e-09,2.36960750325824e-07
"10117",1.4779363735664e-07,4.37411228111013e-09,5.7483454164111e-07,4.16749225479175e-09,9.60784243534088e-09,2.36960750325825e-07
"101192",1.57510324388893e-07,2.56302639712457e-09,3.55174719809941e-07,1.5530621066457e-08,6.19586664183264e-08,2.91520912825443e-07
"101192",1.57510324388891e-07,2.56302639712452e-09,3.55174719809938e-07,1.55306210664569e-08,6.19586664183257e-08,2.91520912825441e-07
"10120",3.91475658819117e-08,1.43709799700284e-08,8.04451453868712e-07,2.55533762304578e-09,6.10075732462003e-07,3.72143650043112e-07
"10120",3.91475658819114e-08,1.43709799700284e-08,8.04451453868707e-07,2.55533762304579e-09,6.10075732462e-07,3.72143650043109e-07
"101204",2.19370992953663e-06,4.81539948999936e-07,9.27772191898551e-08,5.59431055972423e-08,2.92859912954717e-07,1.05318555916347e-08
"101204",2.19370992953661e-06,4.8153994899993e-07,9.27772191898542e-08,5.59431055972415e-08,2.92859912954714e-07,1.05318555916346e-08
"101205",6.20720530270962e-08,6.47468280994051e-08,6.25124513628466e-08,5.863161363519e-08,8.22780945585485e-08,1.05829335627241e-07
"101205",6.20720530270961e-08,6.4746828099405e-08,6.25124513628465e-08,5.86316136351898e-08,8.22780945585484e-08,1.05829335627241e-07
"101209",3.0640199341308e-10,4.96799775745734e-06,5.92838815272098e-05,2.67354436777929e-07,7.67946151283546e-05,1.04509535552712e-05
"101209",3.06401993413135e-10,4.96799775745735e-06,5.92838815272099e-05,2.6735443677792e-07,7.67946151283547e-05,1.04509535552712e-05
"10126",0.000383709802349333,0.000223838869596494,0.00047892348177866,0.000282905707143424,0.000178244248973525,0.000810823520448778
"10126",0.000383709802349333,0.000223838869596494,0.00047892348177866,0.000282905707143424,0.000178244248973525,0.000810823520448778
"101300",5.74313398094868e-07,4.28203709809409e-06,1.00144585704343e-05,5.86011014988347e-06,4.32720171060127e-06,4.6098018799907e-08
"101300",5.74313398094869e-07,4.28203709809408e-06,1.00144585704343e-05,5.86011014988348e-06,4.32720171060128e-06,4.6098018799908e-08
"10132",0.000121580801590325,1.93591733653749e-05,2.21222556651898e-06,8.32830271635584e-06,5.77413568975879e-07,3.04095838661479e-08
"10132",0.000121580801590325,1.93591733653749e-05,2.21222556651896e-06,8.32830271635583e-06,5.7741356897587e-07,3.04095838661477e-08
"101328",2.7066315141865e-08,4.52169375748204e-06,1.01238635499508e-07,7.92171095141708e-06,5.08879860795082e-05,2.91369322485629e-10
"101328",2.7066315141865e-08,4.52169375748204e-06,1.01238635499508e-07,7.92171095141707e-06,5.08879860795083e-05,2.91369322485683e-10
"101342",6.78685422509819e-08,8.76911723479764e-08,3.07272120578012e-08,6.29039317977781e-08,9.32378001682557e-07,3.49611067108993e-07
"101342",6.78685422509822e-08,8.76911723479765e-08,3.07272120578013e-08,6.29039317977782e-08,9.32378001682557e-07,3.49611067108994e-07
"10139",7.89218277750671e-07,5.52288014970493e-08,2.14098666461838e-07,9.98643861840241e-08,2.81814500422859e-08,6.51541636081655e-10
"10139",7.89218277750674e-07,5.52288014970495e-08,2.14098666461839e-07,9.98643861840245e-08,2.81814500422859e-08,6.51541636081651e-10
"10144",2.40800386496149e-06,2.28239000266951e-06,5.31399737922018e-05,1.09266510288102e-05,1.29376744531533e-05,0.000286299913665755
"10144",2.40800386496148e-06,2.28239000266951e-06,5.31399737922018e-05,1.09266510288102e-05,1.29376744531533e-05,0.000286299913665755
"101446",1.56541949642571e-08,1.29847696336643e-08,1.24321298154513e-11,4.34495616391683e-10,8.13083774327584e-10,2.55830450565985e-13
"101446",1.56541949642575e-08,1.29847696336645e-08,1.24321298154515e-11,4.34495616391689e-10,8.13083774327603e-10,2.55830450565922e-13
"10145",1.57998928929105e-05,4.64626529628758e-05,5.79233397077906e-05,5.67613400053242e-06,8.80148933943257e-06,3.96462662808081e-05
"10145",1.57998928929105e-05,4.64626529628758e-05,5.79233397077907e-05,5.67613400053242e-06,8.80148933943259e-06,3.96462662808082e-05
"10149",1.34683532935277e-06,3.53032484062124e-05,0.000130844475726193,3.71595944404044e-05,4.73919445202241e-05,9.16289029383798e-06
"10149",1.34683532935277e-06,3.53032484062124e-05,0.000130844475726193,3.71595944404044e-05,4.73919445202241e-05,9.16289029383798e-06
"101495",3.9447979096166e-07,7.14327570570034e-09,1.62590872573288e-06,5.96370971237454e-07,6.67662421553779e-07,4.03363875439373e-07
"101495",3.94479790961663e-07,7.14327570570032e-09,1.62590872573289e-06,5.96370971237458e-07,6.67662421553783e-07,4.03363875439376e-07
"10150",3.79396457748051e-08,4.17213430089248e-07,8.73269107408729e-06,0.000308853894174966,9.27487657903311e-08,8.30201882582951e-06
"10150",3.79396457748042e-08,4.17213430089244e-07,8.73269107408729e-06,0.000308853894174966,9.27487657903315e-08,8.3020188258295e-06
"10151",1.01432870636501e-09,3.11771110756676e-09,3.19463850717249e-12,6.25388353124296e-13,3.24003875210111e-10,1.58962693855839e-11
"10151",1.01432870636495e-09,3.11771110756661e-09,3.19463850717233e-12,6.25388353124271e-13,3.24003875210097e-10,1.58962693855831e-11
"10154",6.76558872885227e-09,4.73827985455712e-07,1.32221924987244e-07,1.36979322983184e-08,2.13269174014034e-10,6.37318248919215e-10
"10154",6.7655887288523e-09,4.73827985455715e-07,1.32221924987244e-07,1.36979322983185e-08,2.13269174014033e-10,6.37318248919196e-10
"10155",5.49859906348859e-06,1.03510331259578e-06,7.49890094422699e-06,0.00013802760862947,8.98780464683965e-06,5.06438157542889e-07
"10155",5.49859906348859e-06,1.03510331259578e-06,7.49890094422699e-06,0.00013802760862947,8.98780464683966e-06,5.0643815754289e-07
"101557",1.44595905866985e-07,1.17158731757388e-05,7.26377029859812e-07,2.572522292482e-06,4.2910581611044e-05,3.44543532878347e-06
"101557",1.44595905866984e-07,1.17158731757388e-05,7.26377029859808e-07,2.572522292482e-06,4.2910581611044e-05,3.44543532878345e-06
"101574",5.16334887782945e-05,3.10432621971322e-05,2.48626442262651e-06,2.80691193335167e-06,3.88076237638953e-05,4.23543235306463e-05
"101574",5.16334887782945e-05,3.10432621971321e-05,2.4862644226265e-06,2.80691193335167e-06,3.88076237638953e-05,4.23543235306463e-05
"10158",2.88818058146316e-10,2.77906926779868e-09,3.29120685030268e-08,1.07307573645176e-09,4.4355342612171e-09,1.51157163754221e-09
"10158",2.8881805814632e-10,2.7790692677987e-09,3.2912068503027e-08,1.07307573645177e-09,4.43553426121713e-09,1.51157163754222e-09
"101612",2.23621550083438e-05,7.61892887094172e-05,8.56348808775311e-05,5.72450770440285e-06,4.47861638316193e-05,0.00254611731998367
"101612",2.23621550083437e-05,7.61892887094172e-05,8.5634880877531e-05,5.72450770440286e-06,4.47861638316193e-05,0.00254611731998367
"101613",1.46808365306759e-06,2.45255374345061e-06,1.24846246781219e-05,3.27914501692573e-07,1.07742275982833e-05,3.81805513786071e-06
"101613",1.46808365306759e-06,2.45255374345061e-06,1.24846246781219e-05,3.27914501692574e-07,1.07742275982833e-05,3.81805513786071e-06
"10165",7.15273258972045e-05,9.60746797525515e-06,2.41310224434745e-05,2.86454949461527e-06,1.84780838028639e-05,1.64624860701771e-06
"10165",7.15273258972045e-05,9.60746797525514e-06,2.41310224434745e-05,2.86454949461526e-06,1.84780838028639e-05,1.64624860701772e-06
"101678",3.28937989175424e-07,1.0498145680321e-05,4.46073639098719e-07,9.65869318883287e-07,6.24235071435834e-06,4.11211297773022e-06
"101678",3.28937989175428e-07,1.0498145680321e-05,4.4607363909872e-07,9.65869318883281e-07,6.24235071435835e-06,4.11211297773021e-06
"101717",2.19902737673301e-08,1.26158213033312e-08,1.68236269997406e-09,5.63331387860816e-09,3.62101149904631e-09,8.20955213291775e-09
"101717",2.19902737673306e-08,1.26158213033314e-08,1.68236269997409e-09,5.63331387860827e-09,3.62101149904638e-09,8.20955213291791e-09
"101724",2.52918472744133e-06,7.37087341352315e-05,5.85693059184965e-07,4.38537442105301e-06,2.86876090366533e-08,6.58387838764497e-06
"101724",2.52918472744133e-06,7.37087341352315e-05,5.85693059184959e-07,4.38537442105302e-06,2.86876090366534e-08,6.58387838764495e-06
"10179",1.86689829039712e-06,1.50917232132758e-05,0.00010828990386451,2.7049594021058e-05,2.21027848175553e-05,6.23788296889827e-08
"10179",1.86689829039713e-06,1.50917232132758e-05,0.00010828990386451,2.70495940210581e-05,2.21027848175553e-05,6.23788296889832e-08
"101800",0.000589669008880062,0.000380705973386681,0.000131236756826565,3.93373267328012e-05,0.00025822888574768,0.00346318565166359
"101800",0.000589669008880061,0.000380705973386682,0.000131236756826565,3.93373267328014e-05,0.00025822888574768,0.00346318565166359
"101801",1.62488069291062e-07,8.1185026712242e-07,3.11532866584217e-06,2.55355511264291e-05,1.01281184331369e-06,3.71498668082823e-06
"101801",1.62488069291064e-07,8.11850267122415e-07,3.11532866584217e-06,2.55355511264291e-05,1.01281184331369e-06,3.71498668082822e-06
"101814",1.1419140728842e-07,2.7976454109689e-07,1.45175529939436e-06,5.39696065085869e-07,1.84210937528463e-05,3.10481569923738e-07
"101814",1.1419140728842e-07,2.79764541096884e-07,1.45175529939436e-06,5.39696065085869e-07,1.84210937528463e-05,3.10481569923738e-07
"101817",9.76260037638069e-06,1.62283002307912e-05,0.000279516932487524,0.000169803716545352,0.000107972872175926,6.79533403506494e-05
"101817",9.76260037638072e-06,1.62283002307912e-05,0.000279516932487524,0.000169803716545352,0.000107972872175926,6.79533403506494e-05
